id,title,release_date,year,runtime,genres,rated,country,actors,director,writers,awards,box_office,ratings
tt0077614,The Glove,10 Mar 1989,1979,92,"Action,Crime,Drama",R,USA,"John Saxon, Roosevelt Grier, Joanna Cassidy, Joan Blondell",Ross Hagen,"Hugh Smith (screenplay), Julian Roffman (screenplay), Hugh Smith (story), Ross Hagen (story)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]"
tt0077655,Last Hurrah for Chivalry,22 Nov 1979,1979,106,"Action,Drama",Not Rated,Hong Kong,"Pai Wei, Damian Lau, Kong Lau, Chau-Wah Yim",John Woo,John Woo,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]"
tt0077664,Heaven Sword and Dragon Sabre,19 Oct 1978,1978,101,"Action,Drama",N/A,Hong Kong,"Tung-Shing Yee, On-On Yu, Li Ching, Lieh Lo",Yuen Chor,"Louis Cha (novel), Yuen Chor",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
tt0077665,Heaven Sword and Dragon Sabre 2,27 Oct 1978,1978,98,"Action,Drama",N/A,Hong Kong,"Fei Ai, Bobby Canavarro, Ga Yee Chan, Shen Chan",Yuen Chor,"Louis Cha (novel), Yuen Chor (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]"
tt0077666,Hell Hole,15 Nov 1982,1978,82,"Action,Crime,Drama",NOT RATED,"USA, Philippines","Ingrid Greer, Nanette K. Martin, Carry Nichols, Beate Williams",Cirio H. Santiago,"Ken Metcalfe, Cirio H. Santiago",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]"
tt0077673,Firebird: Daybreak Chapter,30 Mar 1979,1978,122,"Action,Adventure,Animation",N/A,Japan,"Tomisaburô Wakayama, Toshinori Omi, Masao Kusakari, Kaoru Yumi",Kon Ichikawa,"Shuntarô Tanikawa (screenplay), Osamu Tezuka (story)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]"
tt0077678,High Seas Hijack,21 Oct 1977,1977,95,"Action,Adventure",N/A,Japan,"Hiroshi Fujioka, Midori Kanazawa, K Amoha, Willie Dorsey","Katsumune Ishida, John A. Bushelman","Riley Jackson, Toshio Masuda, Koji Tanka (story), Yasuko Ôno",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]"
tt0077679,High-Ballin',26 May 1978,1978,97,"Action,Drama",PG,"Canada, USA","Peter Fonda, Jerry Reed, Helen Shaver, Chris Wiggins",Peter Carter,"Paul F. Edwards (screenplay), Richard Robinson (story), Stephen Schneck (story)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]"
tt0077696,Hooper,28 Jul 1978,1978,99,"Action,Comedy",PG,USA,"Burt Reynolds, Jan-Michael Vincent, Sally Field, Brian Keith",Hal Needham,"Thomas Rickman (screenplay), Bill Kerby (screenplay), Walt Green (story), Walter S. Herndon (story)",Nominated for 1 Oscar. Another 2 nominations.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '70/100'}]"
tt0077698,Hot Lead and Cold Feet,05 Jul 1978,1978,90,"Action,Comedy,Family",G,USA,"Jim Dale, Karen Valentine, Don Knotts, Jack Elam",Robert Butler,"Joseph L. McEveety (screenplay), Arthur Alsberg (screenplay), Don Nelson (screenplay), Rod Piffath (story)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]"
