,id,title,release_date,year,runtime,genres,rated,countries,actors,directors,writers,awards,box_office,ratings
1884,tt0275302,The Devil in the Box,20 Apr 1977,1977,104,"['Action', 'Drama']",,['France'],"['Jean Rochefort', ' Dominique Labourier', ' Michael Lonsdale', ' Anouk Ferjac']",['Pierre Lary'],"['Jean-Claude Carrière', ' Huguette Debaisieux', ' Pierre Lary']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]"
1885,tt0275442,Kalabaaz,,1977,145,"['Action', 'Adventure', 'Drama']",,['India'],"['Zeenat Aman', ' Dev Anand', ' Asrani', ' Pradeep Kumar']",['Ashok Roy'],"['S.M. Abbas (dialogue)', ' Tarun Ghosh (story)', ' Kaul Tarun Sen (screenplay)']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
1886,tt0275607,Puerto maldito,05 Oct 1979,1979,84,"['Action', 'Drama']",,['Mexico'],"['Mario Almada', ' Fernando Almada', ' Noé Murayama', ' Enrique Novi']",['Alfredo B. Crevenna'],['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]"
1887,tt0275836,Gaqtseva gatenebisas,,1975,100,"['Action', 'Adventure']",,['Soviet Union'],"['Megi Tsulukidze', ' Tristan Kvelaidze', ' Giorgi Gegechkori', ' Imedo Kakhiani']",['Siko Dolidze'],"['Siko Dolidze', ' Rezo Ebralidze']",,,[]
1888,tt0275874,Tsimbireli papa,,1973,90,"['Action', 'Adventure']",,['Soviet Union'],"['Dodo Abashidze', ' Pyotr Kolbasin', ' Guram Pirtskhalava', ' Uldis Pucitis']",['Giorgi Kalatozishvili'],['Suliko Jgenti'],,,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]"
1889,tt0276091,Zodiac Fighters,,1978,90,"['Action', 'Drama']",,['Taiwan'],"['Lingfeng Shangguan', ' Lieh Lo', ' Feng Shih', ' Yang Yueh']",['Cheng Hou'],['Cheng Hou (screenplay)'],,,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]"
1890,tt0277068,Karaoglan geliyor: Cengiz Han'in hazineleri,,1972,87,"['Action', 'Adventure']",,['Turkey'],"['Kartal Tibet', ' Meral Zeren', ' Ahmet Mekin', ' Kazim Kartal']",['Mehmet Aslan'],"['Mehmet Aslan', ' Abdullah Ziya Kozanoglu (novel)']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]"
1891,tt0277648,Cronica roja,13 Dec 1979,1979,85,"['Action', 'Crime', 'Drama']",,['Mexico'],"['Mario Saavedra', ' Gerardo Vigil', ' Carlos Cardán', ' Guillermo Orea']",['Fernando Vallejo'],['Fernando Vallejo'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]"
1892,tt0278527,Karate Girl,,1973,85,"['Action', 'Crime', 'Drama']",,['Turkey'],"['Filiz Akin', ' Ediz Hun', ' Bülent Kayabas', ' Hayati Hamzaoglu']",['Orhan Aksoy'],['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]"
1893,tt0279309,Pancha Thanthram,,1974,141,"['Action', 'Drama', 'Fantasy']",Not Rated,['India'],"['Prem Nazir', ' Adoor Bhasi', ' Bahadur', ' Sankaradi']",['Sasikumar'],"['Dinesh Chaturvedi (lyrics)', ' N. Govindankutty', ' Sasikumar (story)', ' Sreemoolanagaram Vijayan (dialogue)']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]"
1894,tt0279519,Yedi belalilar,,1970,74,"['Action', 'Adventure', 'Western']",,['Turkey'],"['Yilmaz Güney', ' Bilal Inci', ' Ahmet Danyal Topatan', ' Atilla Ergün']",['Irfan Atasoy'],['Yilmaz Güney'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]"
1895,tt0279532,Çifte yürekli,,1970,71,"['Action', 'Adventure', 'Crime']",,['Turkey'],"['Yilmaz Güney', ' Ülkü Özen', ' Altan Günbay', ' Yavuz Selekman']",['Semih Evin'],"['Muammer Altan', ' Semih Evin']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]"
1896,tt0280394,Aadha Din Aadhee Raat,,1977,132,['Action'],,['India'],"['Jalal Agha', ' Shabana Azmi', ' Prem Chopra', ' Vinod Khanna']",['Doondi'],['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]"
1897,tt0281306,Tsinaparta mitsa,,1979,87,"['Action', 'Romance', 'War']",,"['Georgia', ' Soviet Union']","['Giuli Chokhonelidze', ' Zura Kipshidze', ' Lia Kapanadze', ' Kote Daushvili']","['Giuli Chokhonelidze', ' Giga Lortkipanidze']","['Inga Garuchava', ' Piotr Khotianovsky']",,,[]
1898,tt0281308,Tuan Tanah Kedawung,,1971,92,"['Action', 'Adventure']",,['Indonesia'],"['Farouk Afero', ' Awaludin', ' Marlia Hardi', ' Tina Melinda']",['Liliek Sudjio'],['nan'],,,[]
1899,tt0281391,Yugandhar,,1979,159,"['Action', 'Crime']",,['India'],"['Taraka Rama Rao Nandamuri', ' Jayasudha', ' Kongara Jaggaiah', ' Prabhakar Reddy']",['K.S.R. Doss'],"['Javed Akhtar (story)', ' Narasa Raju D.V. (dialogue)', ' Salim Khan (story)']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]"
1900,tt0282140,Savulun Battal Gazi geliyor,,1973,85,"['Action', 'Adventure', 'History']",,['Turkey'],"['Cüneyt Arkin', ' Zuhal Aktan', ' Reha Yurdakul', ' Birsen Ayda']",['Natuk Baytan'],"['Natuk Baytan', ' Duygu Sagiroglu']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]"
1901,tt0282176,Web of Deception,12 Oct 1971,1971,100,"['Action', 'Adventure', 'Crime']",,['Italy'],"['Thomas Hunter', ' Gabriele Tinti', ' Leopoldo Trieste', ' Marília Branco']",['Massimo Castellani'],"['Italo Gasperini', ' Armando Morandi']",,,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]"
1902,tt0282670,Kvarkvare,01 Aug 1979,1978,100,"['Action', 'Comedy', 'War']",,"['Georgia', ' Soviet Union']","['Dodo Abashidze', ' Gulchina Dadiani', ' Nana Esakia', ' Ketevan Sharikadze']",['Devi Abashidze'],"['Devi Abashidze', ' Rezo Cheishvili', ' Polikarpe Kakabadze (play)']",,,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]"
