,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
214,tt0068281,Black Gunn,1972,96,"Action,Crime,Thriller",5.7,501
215,tt0068287,Mang quan,1972,84,Action,5.6,9
216,tt0068295,Bloody Friday,1972,94,"Action,Crime,Drama",6.8,455
217,tt0068305,Bombay to Goa,1972,132,"Action,Adventure,Comedy",6.9,1002
218,tt0068310,Boxer from Shantung,1972,94,"Action,Crime,Drama",7.0,870
219,tt0068319,Brother on the Run,1973,90,"Action,Drama",4.7,26
220,tt0068347,The Burglars,1971,120,"Action,Crime,Thriller",6.7,1816
221,tt0068371,Godzilla vs. Gigan,1972,89,"Action,Adventure,Family",5.7,3810
222,tt0068372,Man of Iron,1972,92,"Action,Drama",6.4,197
223,tt0068403,Come Back Charleston Blue,1972,100,"Action,Comedy,Crime",6.6,225
224,tt0068408,Conquest of the Planet of the Apes,1972,88,"Action,Sci-Fi",6.1,29044
225,tt0068413,Corky,1972,88,"Action,Drama,Thriller",5.4,111
226,tt0068431,Cu mâinile curate,1972,95,"Action,Crime,Thriller",7.8,955
227,tt0068442,The Pirate,1973,92,"Action,Drama",6.1,138
228,tt0068445,The Daredevil,1972,91,"Action,Crime",5.9,34
229,tt0068482,The Devil's Mirror,1972,90,"Action,Fantasy",6.8,55
230,tt0068486,The Dirt Gang,1972,89,"Action,Drama",2.1,239
231,tt0068491,The Doberman Gang,1972,87,"Action,Comedy,Crime",6.1,876
232,tt0068497,Doomsday Voyage,1972,88,"Action,Drama",3.2,34
233,tt0068524,E poi lo chiamarono il magnifico,1972,125,"Action,Comedy,Western",6.7,2347
234,tt0068545,The Erotic Adventures of Zorro,1972,102,"Action,Adventure,Comedy",4.4,256
235,tt0068576,Fear Is the Key,1972,103,"Action,Crime,Drama",6.3,1248
236,tt0068588,The Final Comedown,1972,83,"Action,Crime,Drama",5.8,279
237,tt0068599,Fly Me,1973,74,"Action,Drama",5.2,134
238,tt0068605,Four Riders,1972,104,"Action,Drama",6.3,127
239,tt0068617,Fuzz,1972,92,"Action,Comedy,Crime",5.5,1476
240,tt0068620,Hot Spices,1972,129,"Action,Comedy,Musical",6.0,66
241,tt0068629,Street Mobster,1972,88,"Action,Crime",7.1,854
242,tt0068638,The Getaway,1972,123,"Action,Crime,Thriller",7.4,26550
243,tt0068650,Hanzo the Razor: Sword of Justice,1972,94,Action,6.8,1440
244,tt0068663,The Groundstar Conspiracy,1972,103,"Action,Crime,Mystery",6.0,480
245,tt0068673,Hammer,1972,92,"Action,Crime,Drama",5.1,483
246,tt0068676,Hapkido,1972,97,"Action,Drama",6.9,651
247,tt0068702,Sonny and Jed,1972,92,"Action,Adventure,Comedy",6.3,363
248,tt0068705,Hito-kiri Yota: Kyoken San-kyodai,1972,86,"Action,Crime",6.7,123
249,tt0068711,The Honkers,1972,102,"Action,Comedy,Drama",6.2,269
250,tt0068717,The Hot Box,1972,85,"Action,Adventure,Drama",4.8,202
251,tt0068718,The Hot Rock,1972,101,"Action,Comedy,Crime",6.8,4739
252,tt0068724,The Inheritor,1973,112,"Action,Drama,Thriller",6.4,758
